ID,Matches played,Name,Highlander games,6's games,Defaults,Country
94280,127,MATTYAZN,16,97,0,England
119086,127,Hugo,28,89,1,UnitedKingdom
90128,127,Deity,73,47,2,Russia
106222,127,I'm Hotep,43,70,2,Finland
105445,127,Bv,9,97,0,Germany
129595,127,DelT,61,46,1,CzechRepublic
61907,127,Steve!,81,26,0,European
5121,127,Mirelin,0,94,6,Latvia
20230,127,Blooddrunk,38,74,0,Germany
100436,127,myownigorek,5,90,0,Russia
39506,126,Sef,25,65,0,Spain
5017,126,maggles!,33,53,0,UnitedKingdom
92182,126,nachodog1661256,58,33,1,Croatia
63997,126,Kilgors,9,95,0,Latvia
89311,126,LilCute,22,98,0,Portugal
91807,125,Teatime,86,14,2,Germany
108799,125,Foz,54,50,2,Sweden
118036,125,toemas_,24,84,0,England
93150,125,Lanzer,21,93,0,Israel
10353,125,Enef,6,72,0,UnitedKingdom
60960,125,MoistPenguin,41,56,0,UnitedKingdom
52231,125,JacquesLEB,6,113,1,England
113001,125,Nightmare,67,21,1,Netherlands
68334,125,TaylorSwiftFan100,9,96,0,Austria
115721,125,Swanny,45,54,0,England
46595,125,tms,7,102,2,CzechRepublic
7072,125,fat0n,3,107,0,Russia
14729,125,YoOko,29,84,1,Russia
99975,125,BrannMolvik Norway,56,52,1,Norway
94432,125,ggggggg,27,89,1,England
56918,125,Setsul,39,77,1,Germany
94793,125,Maccy,73,37,0,England
7492,125,eppz,12,97,2,Sweden
111497,124,gamma,54,61,0,Ireland
621,124,Erner0,2,91,2,Spain
8901,124,Natural,6,94,0,Denmark
2574,124,numlocked,0,99,0,England
63133,123,Neeko,9,106,0,Germany
57127,123,phromelo,47,42,2,Poland
49224,123,Dingo,17,63,0,Italy
5320,123,Asskicker,11,97,0,Belgium
11142,123,xxxlasagne,4,59,1,Hungary
88729,123,Callum,14,81,1,Wales
86357,123,fnzkie,68,39,0,Russia
5195,123,LUH-3417,10,92,0,Netherlands
67343,123,SageLuke,40,73,0,Finland
79618,122,Nevo,5,110,0,France
20353,122,Herr_P,16,71,0,Sweden
113770,122,FTH,49,51,0,SaudiArabia
13484,122,toogyboogy,7,78,0,Norway
93212,122,Temrane,53,61,0,England
5510,122,D1ego$,14,64,1,Russia
115636,122,tiram,29,82,1,UnitedKingdom
128537,121,Blanc,28,77,1,Denmark
101144,121,nash,13,97,0,Finland
126325,121,narkkari,38,54,0,Ukraine
72185,121,Charizard™,70,35,0,Russia
91301,121,Namtac,5,98,0,France
20777,121,furbo,36,51,0,Sweden
121057,121,Superiumentarius,72,30,1,Germany
78681,120,Raipe,64,32,2,Finland
61778,120,Burn,72,29,0,Finland
24027,120,BeaVerN,2,90,0,Sweden
126416,120,Aelkyr,32,81,0,France
73376,120,Zafus,44,51,0,UnitedKingdom
75470,120,Bejcn,50,57,0,England
23165,120,Yabloko Moloko,20,75,2,Russia
102447,120,gona,13,104,1,Finland
82320,120,RaTSLaYeR,10,98,3,UnitedKingdom
16941,120,Jack,36,58,0,Russia
131227,120,Kanga,31,80,1,Sweden
120982,120,Juho,36,73,0,Finland
92091,120,Jonez,51,54,1,Germany
93515,120,pozker,80,10,0,Russia
302,120,xzr,8,95,1,Finland
115164,120,NURWHAL,32,65,1,Ireland
6958,120,Damasko,9,78,0,Spain
39064,119,doks,0,93,0,Latvia
24023,119,Dahlbeck,15,67,0,Sweden
89256,119,Jake,20,90,0,England
107807,119,Apolo,34,75,3,England
108889,119,Cronk,62,34,0,Sweden
4809,119,Retsh0ck,5,71,0,Israel
39596,119,TaKaS,22,66,1,Spain
117356,119,Demind,21,79,2,CzechRepublic
9085,119,HarryHook,12,69,0,Spain
93568,118,MARKO,36,63,2,Croatia
51498,118,thetree,84,10,0,UnitedKingdom
80740,118,Bobinsky,6,87,2,Sweden
71426,118,Raelyn,53,55,1,England
115395,118,Ama,2,105,0,France
2208,118,Admirable,19,68,1,Ireland
70142,118,Phnx,13,84,1,Israel
125181,118,Lowenzahn,41,66,0,Germany
115322,118,EquaL,4,100,0,Sweden
54456,118,Korv,36,66,0,Sweden
116783,118,u,47,49,5,Belarus
10481,118,Hat,23,74,0,England
51108,117,zinneR,33,63,1,Poland
74532,117,Andy,24,63,0,Norway
126521,117,MgeMegatron,29,75,3,Denmark
92350,117,Gotti,17,89,2,Romania
102677,117,Texiq,10,88,2,CzechRepublic
119817,117,kpstk,13,79,3,CzechRepublic
62754,117,Daul,14,88,1,European
121837,117,Jake,11,90,0,UnitedKingdom
62857,117,Shulqiple,11,78,0,Israel
15067,117,Rising,3,94,0,Germany
68790,117,damneasy,7,79,0,Netherlands
6542,117,spirit,0,73,0,Russia
18645,117,Leftism,37,63,0,Wales
